"category","function","tx_hash","gas_used","effective_gas_price_gwei","fee_eth","source","note","ethereum_usd_at_basefee","polygon_usd_at_basefee","arbitrum_usd_at_basefee","optimism_usd_at_basefee","zksync_era_usd_at_basefee"
"Identity binding","registerRecipientAddress","0x98a5ce7392ec8451583a31fc56f4bdc738ee53c4eb0658ca0ef9fb102ca58464","53238","3.00000001","0.00015971400053238","observed_receipt","recipientId=8,addr=0xb1764E2670CCA7698CF3f3c29c76333E2D4D2414","0.00414092","0.00137578","0.00207046","0.00103523","0.00517614"
"Identity binding","registerRecipientAddress","0xf8461550d81908908366151c68218eebd8928d49224706566c898db8cd1f59da","53238","3.00000001","0.00015971400053238","observed_receipt","recipientId=9,addr=0xDe181392f8A495A77c3e9d36Cbc9a0C28694a027","0.00414092","0.00137578","0.00207046","0.00103523","0.00517614"
"Identity binding","registerRecipientAddress","0x29524980ac8f268445f39d888feef11d1c4782ecac1f1b9d9b6590a85c49f0c1","53238","3.00000001","0.00015971400053238","observed_receipt","recipientId=10,addr=0x5E4ce04D2DcDd19985d6288a242242319662B195","0.00414092","0.00137578","0.00207046","0.00103523","0.00517614"
"Profile registration","registerDonor","0x19242f0b2f13ec16a47be73695dc83a67523510705bc94431e6a1c67f6c13766","234359","3.00000001","0.00070307700234359","observed_receipt","donorId=1,organ=Kidney","0.01822872","0.00605631","0.00911436","0.00455718","0.02278591"
"Profile registration","registerRecipient","0x83385b414c3cadfc533c6a9e099d45eb68d87a64e7df0cb64831cddb543faffe","234748","3.00000001","0.00070424400234748","observed_receipt","recipientId=1,organ=Kidney","0.01825898","0.00606636","0.00912949","0.00456475","0.02282373"
"Profile registration","registerRecipient","0x8e0de99561474c9ee2a401581d6da8dc9e16884646541d230c8954f8bd694a1e","234736","3.00000001","0.00070420800234736","observed_receipt","recipientId=2,organ=Kidney","0.01825805","0.00606605","0.00912902","0.00456451","0.02282256"
"Profile registration","registerRecipient","0x8f690187ba43d81c2b195372a6477136f67f98c3132c8d5f475c58df59eaf9a0","234736","3.00000001","0.00070420800234736","observed_receipt","recipientId=3,organ=Kidney","0.01825805","0.00606605","0.00912902","0.00456451","0.02282256"
"Profile registration","registerRecipient","0xc90dcf9adb8f546b507b03d330dde9c9cafc93290f43fbe42ac4f12c9139fa1b","234748","3.00000001","0.00070424400234748","observed_receipt","recipientId=4,organ=Kidney","0.01825898","0.00606636","0.00912949","0.00456475","0.02282373"
"Profile registration","registerRecipient","0xcaf2cf159d16a06d963f6042072fc0440dcf9af932d7cd67571aa201ff3cd059","234748","3.00000001","0.00070424400234748","observed_receipt","recipientId=5,organ=Kidney","0.01825898","0.00606636","0.00912949","0.00456475","0.02282373"
"Profile registration","registerRecipient","0xbb00e76bbe9eb2714929d1eba43636df23d1be7461780c5fa6b908440bea94b3","234748","3.00000001","0.00070424400234748","observed_receipt","recipientId=6,organ=Kidney","0.01825898","0.00606636","0.00912949","0.00456475","0.02282373"
"Profile registration","registerRecipient","0x1f2007a5dcd271f42427c84bb4141553532e50c64548a1d3ce7f57b98dc84d7e","234748","3.00000001","0.00070424400234748","observed_receipt","recipientId=7,organ=Kidney","0.01825898","0.00606636","0.00912949","0.00456475","0.02282373"
"Profile registration","registerRecipient","0x6da0987d4873ab230c794105cef2cade9c38ed382c8c2bcb8640e45a9457fab0","234748","3.000000009","0.000704244002112732","observed_receipt","recipientId=8,organ=Kidney","0.01825898","0.00606636","0.00912949","0.00456475","0.02282373"
"Profile registration","registerRecipient","0x4cd728694936c8c922921f98feecd35c379914ec2a4bc85b976f593fb96e49e4","234760","3.000000009","0.00070428000211284","observed_receipt","recipientId=9,organ=Kidney","0.01825991","0.00606667","0.00912996","0.00456498","0.02282489"
"Profile registration","registerRecipient","0x6292b10b3b14fa6223bc76d2b3c6b203f0f047d67f86627988027d011ea7f48d","234748","3.000000009","0.000704244002112732","observed_receipt","recipientId=10,organ=Kidney","0.01825898","0.00606636","0.00912949","0.00456475","0.02282373"
"Eligibility approvals","approveDonorEthicalCommittee","0x3391fe0a01a7b8f4caf5386b2f953834641382b381047d39e8a66c7158ca8bb4","31472","3.000000009","9.4416000283248e-05","observed_receipt","id=1","0.00244793","0.0008133","0.00122396","0.00061198","0.00305991"
"Eligibility approvals","approveRecipientEthicalCommittee","0x9122bbad6fbe753e4582eafe866615decc9fa2b0b01ce8a2708ad299b60bbacb","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=1","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Eligibility approvals","approveRecipientEthicalCommittee","0x2d55862075f0eea0492ed326ad9b3b0179febd70986a76eef16eebf13100e6dc","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=2","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Eligibility approvals","approveRecipientEthicalCommittee","0xf0ddad104f17416e11f888ba4b260498175b0be767ab7414be824d00eca8a391","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=3","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Eligibility approvals","approveRecipientEthicalCommittee","0xcc81d3c2090c45ed2a7eb4a573602d2539097e3688906155238bdebd2682312c","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=4","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Eligibility approvals","approveRecipientEthicalCommittee","0xa9852b5aa4759c92f80e2b9f371ba51966e74999abf0e8eeb7d693b532cac17e","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=5","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Eligibility approvals","approveRecipientEthicalCommittee","0xd678b10c32623629cfb19befcd4765db749b506c5dc03399e2da2172dfd900c4","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=6","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Eligibility approvals","approveRecipientEthicalCommittee","0xfce7264725db57aa5e9e8e729f9d3d5336db74fad338d649a99cac2726dd2988","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=7","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Eligibility approvals","approveRecipientEthicalCommittee","0xf6166fe917becad9a8c2589016e547bcef0e217900ab424fcbb1907413a48b74","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=8","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Eligibility approvals","approveRecipientEthicalCommittee","0x7cdf1ddd8bcbb284a34e1c7307dfb5c50376df6bac2a2ed17732dddae41b9a7f","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=9","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Eligibility approvals","approveRecipientEthicalCommittee","0xcc0f59be6555beb039fad6947a1abb037ecbebbf4196c0fe185217b1b2d173e4","31338","3.000000009","9.4014000282042e-05","observed_receipt","id=10","0.00243751","0.00080984","0.00121875","0.00060938","0.00304688"
"Match workflow","createMatch","0xffa21f00ca4e73ec6dfdc3d98b8d39d4ad0f0601175adaa45d94e9d076c5301f","244171","3.000000009","0.000732513002197539","observed_receipt","primary=1,backup=7","0.01899191","0.00630987","0.00949596","0.00474798","0.02373989"
"Match workflow","approveMedicalTeam","0xbd80d10cb4a4ce7cccbaa67b1859de87421e0de6a12cd4c3398071541ea35277","50466","3.000000009","0.000151398000454194","observed_receipt","matchId=1","0.00392531","0.00130414","0.00196265","0.00098133","0.00490663"
"Match workflow","approveHospital","0x2fc4b8aca290b990eaa7fc1081a069246edeb7b4161ee7bf0de94f3f78484e6c","33289","3.000000009","9.9867000299601e-05","observed_receipt","matchId=1","0.00258926","0.00086025","0.00129463","0.00064731","0.00323657"
"Match workflow","approveDonor","0xed7adb3b05eddbb5b9b2b38ba833e3ea573fc5aec760dacdf88bc7f38280fb70","35829","3.000000009","0.000107487000322461","observed_receipt","matchId=1","0.00278682","0.00092589","0.00139341","0.00069671","0.00348353"
"Match workflow","approveRecipient","0x7bfec686c56446c55aaceb3560d415ff6ba40b7945d4a056bb34ab46fdf287d3","35694","3.000000009","0.000107082000321246","observed_receipt","matchId=1,recipient=1","0.00277632","0.0009224","0.00138816","0.00069408","0.0034704"
"Match workflow","approveFinalTransplant","0xad206ccdbaed555e66d1560fb03a398b87886aebb19a91940bee2c484dd56d1a","33581","3.000000009","0.000100743000302229","observed_receipt","matchId=1","0.00261197","0.0008678","0.00130599","0.00065299","0.00326496"
"Match workflow","finalizeMatch","0xa39bb07bf8a1eb9476ce3d269fe951945726ffb9e3ad614110c16ef34e53d2f7","50058","3.000000009","0.000150174000450522","observed_receipt","matchId=1","0.00389357","0.0012936","0.00194679","0.00097339","0.00486696"
